index	label
1	V1
2	MST
3	V6
4	V2
5	V3
6	V4
7	V8
8	area_4
9	area_3b
10	FEF
11	PEF
12	area_55b
13	V3A
14	RSC
15	POS2
16	V7
17	IPS1
18	FFC
19	V3B
20	LO1
21	LO2
22	PIT
23	MT
24	A1
25	PSL
26	SFL
27	PCV
28	STV
29	area_7Pm
30	area_7m
31	POS1
32	area_23d
33	v23ab
34	d23ab
35	area_31pv
36	area_5m
37	area_5mv
38	area_23c
39	area_5L
40	area_24dd
41	area_24dv
42	area_7AL
43	SCEF
44	area_6ma
45	area_7Am
46	area_7Pl
47	area_7PC
48	LIPv
49	VIP
50	MIP
51	area_1
52	area_2
53	area_3a
54	area_6d
55	area_6mp
56	area_6v
57	p24pr
58	area_33pr
59	a24pr
60	p32pr
61	a24
62	d32
63	area_8BM
64	p32
65	area_10r
66	area_47m
67	area_8Av
68	area_8Ad
69	area_9m
70	area_8BL
71	area_9p
72	area_10d
73	area_8C
74	area_44
75	area_45
76	area_47l
77	a47r
78	area_6r
79	IFJa
80	IFJp
81	IFSp
82	IFSa
83	p9-46v
84	area_46
85	a9-46v
86	area_9_46d
87	area_9a
88	area_10v
89	a10p
90	area_10pp
91	area_11l
92	area_13l
93	OFC
94	area_47s
95	LIPd
96	area_6a
97	i6-8
98	s6-8
99	area_43
100	OP4
101	OP1
102	OP2-3
103	area_52
104	RI
105	PFcm
106	PoI2
107	TA2
108	FOP4
109	MI
110	Pir
111	AVI
112	AAIC
113	FOP1
114	FOP3
115	FOP2
116	PFt
117	AIP
118	EC
119	PreS
120	H
121	ProS
122	PeEc
123	STGa
124	PBelt
125	A5
126	PHA1
127	PHA3
128	STSda
129	STSdp
130	STSvp
131	TGd
132	TE1a
133	TE1p
134	TE2a
135	TF
136	TE2p
137	PHT
138	PH
139	TPOJ1
140	TPOJ2
141	TPOJ3
142	DVT
143	PGp
144	IP2
145	IP1
146	IP0
147	PFop
148	PF
149	PFm
150	PGi
151	PGs
152	V6A
153	VMV1
154	VMV3
155	PHA2
156	V4t
157	FST
158	V3CD
159	LO3
160	VMV2
161	area_31pd
162	area_31a
163	VVC
164	area_25
165	s32
166	pOFC
167	PoI1
168	Ig
169	FOP5
170	p10p
171	p47r
172	TGv
173	MBelt
174	LBelt
175	A4
176	STSva
177	TE1m
178	PI
179	a32pr
180	p24